"escala";"get_label(data_part_3y4_1)";"casos";"media";"ds";"% nunca + casi nunca";"% a veces + frecuentemente"
"part_pol_voto";"       Votar en elecciones estudiantiles";2436;2.7;1.2;"40.7%";"59.3%"
"part_pol_cand";"       Ser candidato para representar a la clase o parte del centro de alumnos";2436;1.9;1.1;"68.3%";"31.7%"
"part_pol_cealum";"       Ser parte del centro de alumnos";2436;1.6;1;"78.7%";"21.3%"
"part_pol_marcha_pas";"       Participar en marchas o protestas pacíficas";2436;2.2;1.1;"57%";"43%"
"part_pol_marcha_dis";"       Participar en marchas o protestas con disturbios";2436;1.7;1;"76.8%";"23.2%"
"part_pol_bloqueo";"       Participar en bloqueo de calles o carreteras";2436;1.4;0.8;"86.3%";"13.7%"
"part_pol_rayar_w01";"       Pintar o rayar paredes con demandas o consignas";2436;1.3;0.7;"91.8%";"8.2%"
"part_pol_toma_w01";"       Participar en la toma de un edificio o institución";2436;1.5;0.9;"82.9%";"17.1%"
"part_pol_volunt";"       Trabajar como voluntario en servicios a la comunidad";2436;2;1.1;"65.5%";"34.5%"
"part_pol_firma_w01";"       Firmar peticiones, presencialmente o por internet";2436;1.9;1;"69%";"31%"
"part_pol_donar";"       Colectas de dinero o bienes para ayudar a otros";2436;2.5;1;"44.2%";"55.8%"
"marcha_amig_w01";"       Participar en una marcha con mis amigos";2436;2.1;1.1;"62.4%";"37.6%"
"marcha_comp_w01";"       Participar en una marcha con compañeros del colegio";2436;2;1.1;"64%";"36%"
"marcha_pad_w01";"       Participar en una marcha con alguno de mis padres";2436;1.4;0.8;"87.2%";"12.8%"
"marcha_fam_w01";"       Participar en una marcha con otros miembros de mi familia";2436;1.4;0.9;"84.5%";"15.5%"
"weight_w01";"Weights  ebalance  w01";2436;1;1.4;"0%";"0%"
