"escala";"get_label(part_pol_edsup_est_egre_1)";"casos";"media";"ds";"% nunca + casi nunca";"% a veces + frecuentemente"
"est_egre_part_pol_firma";"       Firmar una petición, presencialmente o por internet";791;2.3;1;"52%";"48%"
"est_egre_part_pol_marc_pac";"       Participar en una marcha o manifestación pacífica";791;2.3;1.1;"55.2%";"44.8%"
"est_egre_part_pol_marc_dis";"       Participar en una marcha o manifestación con disturbios";791;1.7;1;"77%";"23%"
"est_egre_part_pol_fem";"       Participar en marchas del movimiento feminista";791;1.9;1.1;"68.9%";"31.1%"
"est_egre_part_pol_cac";"       Participar en cacerolazos";791;2;1.1;"64%";"36%"
"est_egre_part_pol_cab";"       Participar de Cabildos o Asambleas Territoriales";791;1.7;1;"76.4%";"23.6%"
"est_egre_part_pol_cam";"       Participar en la campaña de candidatos";791;1.4;0.8;"88.4%";"11.6%"
"est_egre_part_pol_bloq";"       Participar en bloqueo de calles o carreteras";791;1.3;0.7;"90.5%";"9.5%"
"est_egre_part_pol_rayar";"       Pintar o rayar paredes con demandas o consignas";791;1.2;0.7;"91.8%";"8.2%"
"est_egre_part_pol_toma";"       Participar en la toma de un edificio o institución";791;1.3;0.7;"89.4%";"10.6%"
"est_egre_part_pol_com";"       Trabajar como voluntario en servicios a la comunidad";791;1.9;1.1;"67.9%";"32.1%"
"est_egre_marcha_amig";"       Participar en una marcha con mis amigos";791;2.1;1.1;"59.4%";"40.6%"
"est_egre_marcha_comp";"       Participar en una marcha con compañeros de carrera";791;2;1.1;"66.4%";"33.6%"
"est_egre_marcha_pad";"       Participar en una marcha con alguno de mis padres";791;1.4;0.8;"86.7%";"13.3%"
"est_egre_marcha_fam";"       Participar en una marcha con otros miembros de mi familia";791;1.5;0.9;"82.7%";"17.3%"
"weight_w02";"Weights  ebalance  w02";791;0.4;0.4;"0%";"0%"
