"escala";"get_label(data_part_es_1)";"casos";"media";"ds";"% nunca + casi nunca";"% a veces + frecuentemente"
"part_pol_firma_21";"     Firmar una petición, presencialmente o por internet";2361;2.1;1.2;"58.6%";"41.4%"
"part_pol_marc_pac_21";"     Participar en una marcha o manifestación pacífica";2361;2.4;1.2;"48.7%";"51.3%"
"part_pol_marc_dis_21";"     Participar en una marcha o manifestación con disturbios";2361;1.9;1.1;"69.3%";"30.7%"
"part_pol_fem_21";"     Participar en marchas del movimiento feminista";2361;2.1;1.2;"62.8%";"37.2%"
"part_pol_cac_21";"     Participar en cacerolazos";2361;2.6;1.2;"43.7%";"56.3%"
"part_pol_cab_21";"     Participar de Cabildos o Asambleas Territoriales";2361;1.7;1;"78.4%";"21.6%"
"part_pol_bloq_21";"     Participar en bloqueo de calles o carreteras";2361;1.4;0.9;"85.9%";"14.1%"
"part_pol_rayar_21";"     Pintar o rayar paredes con demandas o consignas";2361;1.2;0.7;"92.1%";"7.9%"
"part_pol_toma_21";"     Participar en la toma de un edificio o institución";2361;1.2;0.6;"93.1%";"6.9%"
"part_pol_com_21";"     Trabajar como voluntario en servicios a la comunidad";2361;1.7;1;"76.2%";"23.8%"
"marcha_amig_21";"     Participar en una marcha con mis amigos";2361;2.2;1.2;"55.1%";"44.9%"
"marcha_comp_21";"     Participar en una marcha con compañeros del colegio";2361;1.6;1;"78.3%";"21.7%"
"marcha_pad_21";"     Participar en una marcha con alguno de mis padres";2361;1.5;0.9;"84.1%";"15.9%"
"marcha_fam_21";"     Participar en una marcha con otros miembros de mi familia";2361;1.7;1;"75.1%";"24.9%"
"weight_w01";"Weights (ebalance) w01";2361;1;1.4;"0%";"0%"
