"escala";"get_label(data_part_pol_21_1s_1)";"casos";"media";"ds";"% nunca + casi nunca";"% a veces + frecuentemente"
"part_pol_firma_w02";"     Firmar una petición, presencialmente o por internet";1312;1.9;1;"66.2%";"33.8%"
"part_pol_marc_pac";"     Participar en una marcha o manifestación pacífica";1312;1.6;0.9;"78.9%";"21.1%"
"part_pol_marc_dis";"     Participar en una marcha o manifestación con disturbios";1312;1.4;0.8;"88.2%";"11.8%"
"part_pol_fem";"     Participar en marchas del movimiento feminista";1312;1.5;1;"79.5%";"20.5%"
"part_pol_cac";"     Participar en cacerolazos";1312;1.8;1;"71.3%";"28.7%"
"part_pol_cab";"     Participar de Cabildos o Asambleas Territoriales";1312;1.4;0.8;"86.9%";"13.1%"
"part_pol_cam";"     Participar en la campaña de candidatos";1312;1.3;0.7;"91.2%";"8.8%"
"part_pol_bloq";"     Participar en bloqueo de calles o carreteras";1312;1.2;0.6;"93.1%";"6.9%"
"part_pol_rayar_w02";"     Pintar o rayar paredes con demandas o consignas";1312;1.2;0.6;"94.7%";"5.3%"
"part_pol_toma_w02";"     Participar en la toma de un edificio o institución";1312;1.2;0.5;"95.1%";"4.9%"
"part_pol_com";"     Trabajar como voluntario en servicios a la comunidad";1312;1.5;0.9;"82.9%";"17.1%"
"marcha_amig_w02";"     Participar en una marcha con mis amigos";1312;1.5;0.9;"81.7%";"18.3%"
"marcha_comp_w02";"     Participar en una marcha con compañeros de carrera";1312;1.3;0.8;"88.9%";"11.1%"
"marcha_pad_w02";"     Participar en una marcha con alguno de mis padres";1312;1.3;0.7;"90.9%";"9.1%"
"marcha_fam_w02";"     Participar en una marcha con otros miembros de mi familia";1312;1.4;0.8;"87.5%";"12.5%"
"weight_w02";"Weights (ebalance) w02";1312;4.3;1.8;"0%";"0%"
