"escala";"get_label(data_part_pol_21_2s_1_estact)";"casos";"media";"ds";"% nunca + casi nunca";"% a veces + frecuentemente"
"part_pol_firma_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Firmar una petición, presencialmente o por internet";267;2;1;"63.7%";"36.3%"
"part_pol_marc_pac_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en una marcha o manifestación pacífica";267;1.6;0.9;"77.5%";"22.5%"
"part_pol_marc_dis_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en una marcha o manifestación con disturbios";267;1.3;0.8;"88%";"12%"
"part_pol_fem_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en marchas del movimiento feminista";267;1.6;1;"78.7%";"21.3%"
"part_pol_cac_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en cacerolazos";267;1.7;1.1;"75.7%";"24.3%"
"part_pol_cab_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar de Cabildos o Asambleas Territoriales";267;1.5;0.8;"85%";"15%"
"part_pol_camp_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en la campaña de candidatos";267;1.5;0.9;"82.8%";"17.2%"
"part_pol_bloq_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en bloqueo de calles o carreteras";267;1.2;0.6;"94%";"6%"
"part_pol_rayar_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Pintar o rayar paredes con demandas o consignas";267;1.2;0.6;"93.3%";"6.7%"
"part_pol_toma_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en la toma de un edificio o institución";267;1.2;0.6;"94.8%";"5.2%"
"part_pol_com_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Trabajar como voluntario en servicios a la comunidad";267;1.6;0.9;"80.9%";"19.1%"
"marcha_amig_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en una marcha con mis amigos";267;1.6;1;"80.1%";"19.9%"
"marcha_comp_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en una marcha con compañeros de carrera";267;1.3;0.8;"88%";"12%"
"marcha_pad_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en una marcha con alguno de mis padres";267;1.3;0.7;"89.9%";"10.1%"
"marcha_fam_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en una marcha con otros miembros de mi familia";267;1.3;0.7;"89.5%";"10.5%"
"weight_w03";"";267;1.7;2.1;"0%";"0%"
