"escala";"get_label(data_part_20_1)";"casos";"media";"ds";"% nunca + casi nunca";"% a veces + frecuentemente"
"part_pol_firma_20";"     Firmar una petición, presencialmente o por internet";1006;1.8;1.1;"66.9%";"33.1%"
"part_pol_marc_pac_20";"     Participar en una marcha o manifestación pacífica";1006;1.6;1;"75.2%";"24.8%"
"part_pol_marc_dis_20";"     Participar en una marcha o manifestación con disturbios";1006;1.4;0.8;"88.4%";"11.6%"
"part_pol_fem_20";"     Participar en marchas del movimiento feminista";1006;1.5;1;"77.3%";"22.7%"
"part_pol_cac_20";"     Participar en cacerolazos";1006;1.9;1.1;"61.1%";"38.9%"
"part_pol_cab_20";"     Participar de Cabildos o Asambleas Territoriales";1006;1.4;0.8;"89.2%";"10.8%"
"part_pol_bloq_20";"     Participar en bloqueo de calles o carreteras";1006;1.3;0.6;"92.4%";"7.6%"
"part_pol_rayar_20";"     Pintar o rayar paredes con demandas o consignas";1006;1.3;0.6;"92.9%";"7.1%"
"part_pol_toma_20";"     Participar en la toma de un edificio o institución";1006;1.2;0.5;"95.5%";"4.5%"
"part_pol_com_20";"     Trabajar como voluntario en servicios a la comunidad";1006;1.4;0.8;"86%";"14%"
"marcha_amig_20";"     Participar en una marcha con mis amigos";1006;1.5;1;"79.2%";"20.8%"
"marcha_comp_20";"     Participar en una marcha con compañeros del colegio";1006;1.3;0.7;"90.5%";"9.5%"
"marcha_pad_20";"     Participar en una marcha con alguno de mis padres";1006;1.3;0.7;"90.3%";"9.7%"
"marcha_fam_20";"     Participar en una marcha con otros miembros de mi familia";1006;1.4;0.8;"86.8%";"13.2%"
"weight_w01";"Weights (ebalance) w01";1006;1.7;0.9;"0%";"0%"
