"escala";"get_label(data_part_pol_21_2s_1)";"casos";"media";"ds";"% nunca + casi nunca";"% a veces + frecuentemente"
"part_pol_firma_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Firmar una petición, presencialmente o por internet";1022;1.8;0.9;"71.2%";"28.8%"
"part_pol_marc_pac_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en una marcha o manifestación pacífica";1022;1.5;0.9;"80.9%";"19.1%"
"part_pol_marc_dis_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en una marcha o manifestación con disturbios";1022;1.3;0.6;"92.3%";"7.7%"
"part_pol_fem_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en marchas del movimiento feminista";1022;1.4;0.9;"83.4%";"16.6%"
"part_pol_cac_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en cacerolazos";1022;1.5;1;"78.8%";"21.2%"
"part_pol_cab_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar de Cabildos o Asambleas Territoriales";1022;1.3;0.7;"90.5%";"9.5%"
"part_pol_camp_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en la campaña de candidatos";1022;1.4;0.8;"85.2%";"14.8%"
"part_pol_bloq_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en bloqueo de calles o carreteras";1022;1.1;0.5;"96.6%";"3.4%"
"part_pol_rayar_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Pintar o rayar paredes con demandas o consignas";1022;1.2;0.4;"97%";"3%"
"part_pol_toma_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en la toma de un edificio o institución";1022;1.1;0.4;"97.7%";"2.3%"
"part_pol_com_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Trabajar como voluntario en servicios a la comunidad";1022;1.4;0.8;"85.2%";"14.8%"
"marcha_amig_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en una marcha con mis amigos";1022;1.4;0.9;"82.7%";"17.3%"
"marcha_comp_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en una marcha con compañeros de carrera";1022;1.2;0.7;"91.4%";"8.6%"
"marcha_pad_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en una marcha con alguno de mis padres";1022;1.2;0.6;"93.5%";"6.5%"
"marcha_fam_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en una marcha con otros miembros de mi familia";1022;1.2;0.7;"90%";"10%"
"weight_w03";"Weights  ebalance  w03";1022;5.1;2;"0%";"0%"
