"escala";"get_label(part_pol_edsup_est_act_1)";"casos";"media";"ds";"% nunca + casi nunca";"% a veces + frecuentemente"
"part_pol_firma.x";"     Firmar una petición, presencialmente o por internet";274;2;1.1;"58.4%";"41.6%"
"part_pol_marc_pac";"     Participar en una marcha o manifestación pacífica";274;1.7;1;"70.1%";"29.9%"
"part_pol_marc_dis";"     Participar en una marcha o manifestación con disturbios";274;1.5;0.9;"83.2%";"16.8%"
"part_pol_fem";"     Participar en marchas del movimiento feminista";274;1.6;1;"75.5%";"24.5%"
"part_pol_cac";"     Participar en cacerolazos";274;1.7;1;"68.6%";"31.4%"
"part_pol_cab";"     Participar de Cabildos o Asambleas Territoriales";274;1.5;0.8;"81.8%";"18.2%"
"part_pol_cam";"     Participar en la campaña de candidatos";274;1.4;0.7;"90.1%";"9.9%"
"part_pol_bloq";"     Participar en bloqueo de calles o carreteras";274;1.3;0.6;"91.6%";"8.4%"
"part_pol_rayar.x";"     Pintar o rayar paredes con demandas o consignas";274;1.2;0.6;"93.1%";"6.9%"
"part_pol_toma.x";"     Participar en la toma de un edificio o institución";274;1.2;0.6;"92.7%";"7.3%"
"part_pol_com";"     Trabajar como voluntario en servicios a la comunidad";274;1.6;0.9;"76.6%";"23.4%"
"marcha_amig.x";"     Participar en una marcha con mis amigos";274;1.5;0.9;"81.8%";"18.2%"
"marcha_comp.x";"     Participar en una marcha con compañeros de carrera";274;1.4;0.7;"88.7%";"11.3%"
"marcha_pad.x";"     Participar en una marcha con alguno de mis padres";274;1.3;0.8;"89.8%";"10.2%"
"marcha_fam.x";"     Participar en una marcha con otros miembros de mi familia";274;1.4;0.8;"88.3%";"11.7%"
"weight_w02";"";274;3;1.5;"0%";"0%"
